knee_angle,elbow_angle,hip_angle,label
94.6161313657094,15.584730616701584,93.3583353568583,squat
95.7820599840184,15.702140463085133,94.41932629584456,squat
102.0102553093509,9.117968885221464,100.37027147121046,squat
109.32807906550077,6.234411100051137,106.76785302692026,squat
120.07337006687486,3.9910573697395604,116.56247356210167,squat
126.46450066548812,2.6845483656578364,122.74605802847404,squat
131.65037249845108,1.4295022042158652,128.35779365966124,squat
135.73238156157163,2.0663448869186776,132.42912470312874,squat
140.9312455921396,2.403475842456914,137.48194489886131,squat
144.53538740467962,2.4345981837868824,140.60635384003757,squat
149.3658194057327,3.7543547946469733,145.57044720709996,squat
152.91808503786376,8.231011495771394,148.96977756251493,squat
155.35026253719548,1.3138638959123634,151.57622029531333,squat
157.6066820112451,4.974693050406142,154.323934914061,squat
160.3397105555514,2.3844481575100245,157.10125634342768,squat
163.06635860349976,14.325498062371173,159.92245645469532,squat
165.407300578836,15.919232052477524,162.2594846943075,squat
168.871952913929,14.125427128581917,165.55301228353116,squat
173.59823362455697,19.118007511673067,169.54744474811696,squat
177.68976151112054,24.415265945782814,173.26845931884202,squat
179.59299174395585,25.156360962287636,175.08728484683826,squat
179.03881719160827,23.289117183161526,176.95419841164684,squat
178.31153451890805,19.622566848792268,178.16449125168634,squat
178.91875556016012,18.34351312686002,177.98207247800056,squat
179.0429460891348,15.460322434225308,177.98599343558206,squat
179.54689377552444,11.33028337092861,177.5522170994403,squat
179.86412642997132,10.457191395433423,177.3447739714573,squat
179.856681889043,8.998323465541768,177.41491564898573,squat
179.93173461875824,6.721625859525996,177.36549797784554,squat
179.75249140114326,6.330538039934964,177.65618148337012,squat
179.76391270473394,5.891306499359241,177.73151075255626,squat
179.84227079925182,5.983031407540447,177.50092804980224,squat
179.89210075500813,6.773960347911076,177.24890100792095,squat
179.38399025823875,7.559233607696598,176.69983285384737,squat
177.6648270846362,9.478108978954177,175.179093893591,squat
175.1661549034139,9.430908117642346,173.24359995927557,squat
171.91454277441065,11.98215510977841,170.07703041897327,squat
168.53318009152824,19.39617449594061,166.70518203518625,squat
164.99447935911493,28.824978884142514,162.66542337565397,squat
160.80794742037898,36.26032579715379,158.4891106562248,squat
157.11929815986673,35.14733259059405,154.99163514448335,squat
152.72791334886054,33.52332214426777,150.8013688692164,squat
148.82503217857172,24.568421132673972,146.34662321465962,squat
144.4195766145181,23.32102725854586,142.1137876568149,squat
140.49218066921028,19.671495083588646,138.62329271064465,squat
135.67453548531984,23.321028050089144,133.42203604360512,squat
130.21524689263626,27.004264929304163,127.88921574415518,squat
124.13271930222356,27.230279871452236,122.81651862534609,squat
117.2480317464565,27.496939277846653,115.86615961515487,squat
112.74723375008533,23.221957595992766,112.47253830601522,squat
105.04735307619141,20.434085808130966,104.86773446441443,squat
98.1320963887048,18.16772305126052,98.01845414748219,squat
91.40915952678614,21.47820387591852,91.8181645968302,squat
85.73160739947224,17.644039766123573,85.87182486517052,squat
80.70915210383151,13.662948994256691,82.73032699750765,squat
75.9770496893611,17.771305128919987,77.70494049711445,squat
71.39243695468768,16.511447608220116,72.61728381958821,squat
72.10414262118938,8.7044027908516,73.62489215364131,squat
72.08078282460144,15.686886554145806,73.6084824770011,squat
75.58547270624422,17.126386163158138,76.80402155311941,squat
79.20772222248188,15.595762191152609,79.90595744368117,squat
86.81598811629728,7.8494773270726546,87.15914736401928,squat
102.43786440374501,0.4675490007831375,103.10019493559989,squat
117.67808353499055,1.1638031941049443,117.99605750614721,squat
125.25408670545954,5.156776604196803,125.8830015269776,squat
132.05891281379252,5.9891901300576595,132.84731936258768,squat
138.41929473333573,3.8983527134276965,138.59142367213482,squat
143.18778373771858,5.259485378530343,142.6987320107022,squat
147.50199024654486,8.308721970026545,146.53805980074586,squat
151.29927125695752,7.420464343675059,149.68403411205404,squat
155.7274316263143,6.605606648304055,153.15454368658135,squat
158.0672164311702,6.743976494911858,155.4686190359117,squat
161.77837211110855,11.522069484333397,158.8394395439565,squat
161.79544389037787,18.379345665850696,159.0578570469911,squat
165.14801426716977,20.98449662399052,161.89750169556692,squat
167.71170649367258,18.09256814343115,164.6109850192954,squat
171.83248372491855,9.656028410522115,167.74447306656643,squat
176.22210549859025,12.923138107852909,171.4388808568068,squat
179.06376171633244,9.761533156345958,173.865665515713,squat
178.93151395917636,8.221955769360596,174.33148685962303,squat
179.19649696727302,0.6903412234223557,174.9601056762028,squat
179.7544162922209,0.3274262063352761,175.91525862789518,squat
179.58057958071365,0.2497374017536886,176.0691325759272,squat
179.49829522161158,3.141445049062153,176.4494750294364,squat
179.67731712242355,9.914963582856235,176.97515005647944,squat
179.722056634154,12.810418460546732,177.07222905419835,squat
179.43335342064003,15.14309459426553,176.86113147417902,squat
179.31787537967287,15.745869622179946,176.74547966035644,squat
179.08350313268232,16.212072330415754,176.5096145088347,squat
179.0513830780349,16.07618185470821,176.43217247797264,squat
178.88985321446728,17.033445315083355,176.15586847729824,squat
178.04772758016244,14.34708967468899,175.46034883499362,squat
176.53012407752422,10.128328617730874,174.26801674319924,squat
175.29887437782318,7.369786860418368,173.19110470614498,squat
173.35347838034465,2.0753057244039836,171.12318428318292,squat
170.71814497407462,11.46674032856303,168.588799057418,squat
